,Sequence,Explanation,Prediction
10,- <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - 1117984246 2005.06.05 R30-M1-N3-C:J02-U01 2005-06-05-08.10.46.344235 R30-M1-N3-C:J02-U01 RAS KERNEL FATAL force load/store alignment...............0 - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*>,,0
11,- <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*>,,0
12,- <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*>,,0
13,- <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*>,,0
14,- <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*>,,0
15,- <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*>,,0
16,- <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO CE sym <*> at <*> mask <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO CE sym <*> at <*> mask <*>,,0
17,- <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO CE sym <*> at <*> mask <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO CE sym <*> at <*> mask <*> - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,,0
18,- <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO CE sym <*> at <*> mask <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO CE sym <*> at <*> mask <*> - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,,0
19,- <*> <*> <*> <*> <*> RAS KERNEL INFO CE sym <*> at <*> mask <*> - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*>,,0
20,- <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - 1118112700 2005.06.06 R23-M0-N0-I:J18-U01 2005-06-06-19.51.40.376079 R23-M0-N0-I:J18-U01 RAS KERNEL INFO ciod: cpu 0 at treeaddr 438 sent unrecognized message 0xffffffff - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*>,,0
21,- <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - 1118112700 2005.06.06 R23-M0-N0-I:J18-U01 2005-06-06-19.51.40.376079 R23-M0-N0-I:J18-U01 RAS KERNEL INFO ciod: cpu 0 at treeaddr 438 sent unrecognized message 0xffffffff - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*>,,0
22,- <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - 1118112700 2005.06.06 R23-M0-N0-I:J18-U01 2005-06-06-19.51.40.376079 R23-M0-N0-I:J18-U01 RAS KERNEL INFO ciod: cpu 0 at treeaddr 438 sent unrecognized message 0xffffffff - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*>,,0
23,- <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*>,,0
24,- <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*>,,0
25,- <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - 1118193358 2005.06.07 R11-M0-NC-I:J18-U01 2005-06-07-18.15.58.583443 R11-M0-NC-I:J18-U01 RAS APP FATAL ciod: LOGIN chdir(/p/gb2/glosli/8M_5000K/t800) failed: No such file or directory,,0
26,- <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - 1118193358 2005.06.07 R11-M0-NC-I:J18-U01 2005-06-07-18.15.58.583443 R11-M0-NC-I:J18-U01 RAS APP FATAL ciod: LOGIN chdir(/p/gb2/glosli/8M_5000K/t800) failed: No such file or directory - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO CE sym <*> at <*> mask <*>,,0
27,"- <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - 1118193358 2005.06.07 R11-M0-NC-I:J18-U01 2005-06-07-18.15.58.583443 R11-M0-NC-I:J18-U01 RAS APP FATAL ciod: LOGIN chdir(/p/gb2/glosli/8M_5000K/t800) failed: No such file or directory - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO CE sym <*> at <*> mask <*> - 1118271740 2005.06.08 R03-M1-N9-C:J09-U11 2005-06-08-16.02.20.600478 R03-M1-N9-C:J09-U11 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 25, bit 1 - <*> <*> <*> <*> <*> RAS KERNEL INFO CE sym <*> at <*> mask <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*>",,0
28,"- 1118193358 2005.06.07 R11-M0-NC-I:J18-U01 2005-06-07-18.15.58.583443 R11-M0-NC-I:J18-U01 RAS APP FATAL ciod: LOGIN chdir(/p/gb2/glosli/8M_5000K/t800) failed: No such file or directory - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO CE sym <*> at <*> mask <*> - 1118271740 2005.06.08 R03-M1-N9-C:J09-U11 2005-06-08-16.02.20.600478 R03-M1-N9-C:J09-U11 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 25, bit 1 - <*> <*> <*> <*> <*> RAS KERNEL INFO CE sym <*> at <*> mask <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*>",,0
29,"- <*> <*> <*> <*> <*> RAS KERNEL INFO CE sym <*> at <*> mask <*> - 1118271740 2005.06.08 R03-M1-N9-C:J09-U11 2005-06-08-16.02.20.600478 R03-M1-N9-C:J09-U11 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 25, bit 1 - <*> <*> <*> <*> <*> RAS KERNEL INFO CE sym <*> at <*> mask <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*>",,0
